Tag rete,Ikssmin [kA],Sgn_eff [MVA],H [s],Generatore,Out_of_step,_VRT,min_diff,Output
100,3,0.100000001490116,0.2,GR1,1,1,-0.00147420311827184,OK
100,3,0.100000001490116,0.3,GR1,1,1,-0.0014525629586094,OK
100,3,0.100000001490116,0.4,GR1,1,1,-0.00178835362711893,OK
100,3,0.100000001490116,0.5,GR1,1,1,-0.000860833494887636,OK
100,3,0.100000001490116,0.6,GR1,1,1,-0.00161199290828751,OK
100,3,0.100000001490116,0.7,GR1,1,1,-0.00191572824502906,OK
100,3,0.100000001490116,0.8,GR1,1,1,-0.0018087767207956,OK
100,3,0.100000001490116,0.9,GR1,1,1,-0.00148219849217612,OK
100,3,0.100000001490116,1,GR1,1,0,0.00119614055961692,NO
100,3,0.100000001490116,1.1,GR1,1,1,-5.11776380748286e-05,OK
100,3,0.100000001490116,1.2,GR1,1,1,-0.00191568064853964,OK
100,3,0.100000001490116,1.3,GR1,1,1,-0.00153997308875187,OK
100,3,0.100000001490116,1.4,GR1,1,1,-0.00195730635943359,OK
100,3,0.100000001490116,1.5,GR1,1,1,-0.00170311014767321,OK
100,3,0.100000001490116,1.6,GR1,1,1,-0.00209807633521608,OK
100,3,0.100000001490116,1.7,GR1,1,1,-0.00183505022164587,OK
100,3,0.100000001490116,1.8,GR1,1,1,-0.00202171498305914,OK
100,3,0.100000001490116,1.9,GR1,1,1,-0.00209257966621357,OK
100,3,0.100000001490116,2,GR1,1,1,-0.00172429146452679,OK
100,3,0.100000001490116,2.1,GR1,1,1,-0.00128756223012394,OK
100,3,0.100000001490116,2.2,GR1,1,1,-0.000542315538408222,OK
100,3,0.100000001490116,2.3,GR1,1,1,-0.000279863968648764,OK
100,3,0.100000001490116,2.4,GR1,1,0,0.00061036129961034,NO
100,3,0.100000001490116,2.5,GR1,1,0,0.000552879964388131,NO
100,3,0.100000001490116,2.6,GR1,1,0,0.00118612920673422,NO
100,3,0.100000001490116,2.7,GR1,1,0,0.00125323269374189,NO
100,3,0.100000001490116,2.8,GR1,1,0,0.0017747218781291,NO
100,3,0.100000001490116,2.9,GR1,1,0,0.00173222238923065,NO
100,3,0.100000001490116,3,GR1,1,0,0.0021374008447782,NO
100,3,0.100000001490116,3.1,GR1,1,0,0.0022411646913516,NO
100,3,0.100000001490116,3.2,GR1,1,0,0.00222118615870537,NO
100,3,0.100000001490116,3.3,GR1,1,0,0.00173163762270145,NO
100,3,0.100000001490116,3.4,GR1,1,0,0.00155272777663007,NO
100,3,0.100000001490116,3.5,GR1,1,0,0.000922126504717791,NO
100,3,0.100000001490116,3.6,GR1,1,0,0.000820978735694311,NO
100,3,0.100000001490116,3.7,GR1,1,0,0.000406797485813515,NO
100,3,0.100000001490116,3.8,GR1,1,0,0.000143795920082068,NO
100,3,0.100000001490116,3.9,GR1,1,1,-0.000248028400206213,OK
100,3,0.100000001490116,4,GR1,1,1,-0.000250625939688942,OK
100,3,0.100000001490116,4.1,GR1,1,1,-0.000537784867736701,OK
100,3,0.100000001490116,4.2,GR1,1,1,-0.000747204848603245,OK
100,3,0.100000001490116,4.3,GR1,1,1,-0.000611899155780971,OK
100,3,0.100000001490116,4.4,GR1,1,1,-0.000975000956757066,OK
100,3,0.100000001490116,4.5,GR1,1,1,-0.00123693277358472,OK
100,3,0.100000001490116,4.6,GR1,1,1,-0.00125079505249848,OK
100,3,0.100000001490116,4.7,GR1,1,1,-0.00136056128386197,OK
100,3,0.100000001490116,4.8,GR1,1,1,-0.00122872099482907,OK
100,3,0.100000001490116,4.9,GR1,1,1,-0.00153226236472137,OK
100,3,0.100000001490116,5,GR1,1,1,-0.00160391472817711,OK
100,3,0.600000023841858,0.1,GR1,1,0,0.00634384985695147,NO
100,3,0.600000023841858,0.2,GR1,1,0,0.0110398383237393,NO
100,3,0.600000023841858,0.3,GR1,1,1,-0.040299278978794,OK
100,3,0.600000023841858,0.4,GR1,1,1,-0.0420566898313378,OK
100,3,0.600000023841858,0.5,GR1,1,1,-0.0313942238423126,OK
100,3,0.600000023841858,0.6,GR1,1,1,-0.029575741176605,OK
100,3,0.600000023841858,0.7,GR1,1,1,-0.0289495451618312,OK
100,3,0.600000023841858,0.8,GR1,1,1,-0.0282551456326091,OK
100,3,0.600000023841858,0.9,GR1,1,1,-0.0281983972935873,OK
100,3,0.600000023841858,1,GR1,1,1,-0.027786851589607,OK
100,3,0.600000023841858,1.1,GR1,1,1,-0.0274720721912869,OK
100,3,0.600000023841858,1.2,GR1,1,1,-0.0274076946148967,OK
100,3,0.600000023841858,1.3,GR1,1,1,-0.026926874752578,OK
100,3,0.600000023841858,1.4,GR1,1,1,-0.0271482297727701,OK
100,3,0.600000023841858,1.5,GR1,1,1,-0.0271877216140352,OK
100,3,0.600000023841858,1.6,GR1,1,1,-0.0270395330399753,OK
100,3,0.600000023841858,1.7,GR1,1,1,-0.0270282057167961,OK
100,3,0.600000023841858,1.8,GR1,1,1,-0.0269558539269995,OK
100,3,0.600000023841858,1.9,GR1,1,1,-0.026942997201337,OK
100,3,0.600000023841858,2,GR1,1,1,-0.0264036198592436,OK
100,3,0.600000023841858,2.1,GR1,1,1,-0.0266666450490733,OK
100,3,0.600000023841858,2.2,GR1,1,1,-0.0266123177711726,OK
100,3,0.600000023841858,2.3,GR1,1,1,-0.0266794359443238,OK
100,3,0.600000023841858,2.4,GR1,1,1,-0.0263542673419166,OK
100,3,0.600000023841858,2.5,GR1,1,1,-0.0265026231097527,OK
100,3,0.600000023841858,2.6,GR1,1,1,-0.0263806809067642,OK
100,3,0.600000023841858,2.7,GR1,1,1,-0.0264883151814271,OK
100,3,0.600000023841858,2.8,GR1,1,1,-0.0263515566541787,OK
100,3,0.600000023841858,2.9,GR1,1,1,-0.0264271133096895,OK
100,3,0.600000023841858,3,GR1,1,1,-0.0264334669517691,OK
100,3,0.600000023841858,3.1,GR1,1,1,-0.0264089806500396,OK
100,3,0.600000023841858,3.2,GR1,1,1,-0.0265776636913568,OK
100,3,0.600000023841858,3.3,GR1,1,1,-0.0264795457620599,OK
100,3,0.600000023841858,3.4,GR1,1,1,-0.0263512538992843,OK
100,3,0.600000023841858,3.5,GR1,1,1,-0.026372339056003,OK
100,3,0.600000023841858,3.6,GR1,1,1,-0.0262311429378845,OK
100,3,0.600000023841858,3.7,GR1,1,1,-0.0263931374930078,OK
100,3,0.600000023841858,3.8,GR1,1,1,-0.0262613550468057,OK
100,3,0.600000023841858,3.9,GR1,1,1,-0.0264136689542356,OK
100,3,0.600000023841858,4,GR1,1,1,-0.0263444956424514,OK
100,3,0.600000023841858,4.1,GR1,1,1,-0.0264574422814101,OK
100,3,0.600000023841858,4.2,GR1,1,1,-0.0264479653194686,OK
100,3,0.600000023841858,4.3,GR1,1,1,-0.0262987660437218,OK
100,3,0.600000023841858,4.4,GR1,1,1,-0.026392362381871,OK
100,3,0.600000023841858,4.5,GR1,1,1,-0.0265592169042612,OK
100,3,0.600000023841858,4.6,GR1,1,1,-0.0264196698461238,OK
100,3,0.600000023841858,4.7,GR1,1,1,-0.0266179111586401,OK
100,3,0.600000023841858,4.8,GR1,1,1,-0.0266853454119167,OK
100,3,0.600000023841858,4.9,GR1,1,1,-0.0266403112813662,OK
100,3,0.600000023841858,5,GR1,1,1,-0.0266583229714341,OK
100,3,1.10000002384186,0.1,GR1,1,1,-0.0082512310508952,OK
100,3,1.10000002384186,0.2,GR1,1,1,-0.0493947804323164,OK
100,3,1.10000002384186,0.3,GR1,1,1,-0.0520904038874339,OK
100,3,1.10000002384186,0.4,GR1,1,1,-0.0536338964008736,OK
100,3,1.10000002384186,0.5,GR1,1,1,-0.0547870981050125,OK
100,3,1.10000002384186,0.6,GR1,1,1,-0.0557898225866089,OK
100,3,1.10000002384186,0.7,GR1,0,0,0.00457346037533424,OK
100,3,1.10000002384186,0.8,GR1,0,0,0.00287080743683577,OK
100,3,1.10000002384186,0.9,GR1,0,0,0.000474720775857196,OK
100,3,1.10000002384186,1,GR1,0,1,-0.00029222672568896,OK
100,3,1.10000002384186,1.1,GR1,0,1,-0.000623345156691268,OK
100,3,1.10000002384186,1.2,GR1,0,1,-0.000865092893707398,OK
100,3,1.10000002384186,1.3,GR1,0,1,-0.00102702407899313,OK
100,3,1.10000002384186,1.4,GR1,0,1,-0.00117864907591481,OK
100,3,1.10000002384186,1.5,GR1,0,1,-0.00127476524253989,OK
100,3,1.10000002384186,1.6,GR1,0,1,-0.00132567697787145,OK
100,3,1.10000002384186,1.7,GR1,0,1,-0.0012319815009445,OK
100,3,1.10000002384186,1.8,GR1,0,1,-0.00118952178105414,OK
100,3,1.10000002384186,1.9,GR1,0,1,-0.00113778564659128,OK
100,3,1.10000002384186,2,GR1,0,1,-0.00109174858986927,OK
100,3,1.10000002384186,2.1,GR1,0,1,-0.00110045280984195,OK
100,3,1.10000002384186,2.2,GR1,0,1,-0.00117072028636767,OK
100,3,1.10000002384186,2.3,GR1,0,1,-0.00121553020985388,OK
100,3,1.10000002384186,2.4,GR1,0,1,-0.00122313596331736,OK
100,3,1.10000002384186,2.5,GR1,0,1,-0.00120105757738376,OK
100,3,1.10000002384186,2.6,GR1,0,1,-0.00116543510079126,OK
100,3,1.10000002384186,2.7,GR1,0,1,-0.00111888350402722,OK
100,3,1.10000002384186,2.8,GR1,0,1,-0.00107114345740322,OK
100,3,1.10000002384186,2.9,GR1,0,1,-0.00102437547188672,OK
100,3,1.10000002384186,3,GR1,0,1,-0.000974596374197612,OK
100,3,1.10000002384186,3.1,GR1,0,1,-0.000925611649131741,OK
100,3,1.10000002384186,3.2,GR1,0,1,-0.000871876202803934,OK
100,3,1.10000002384186,3.3,GR1,0,1,-0.000817813389059285,OK
100,3,1.10000002384186,3.4,GR1,0,1,-0.000765837089137023,OK
100,3,1.10000002384186,3.5,GR1,0,1,-0.000706137072079116,OK
100,3,1.10000002384186,3.6,GR1,0,1,-0.000654532623738935,OK
100,3,1.10000002384186,3.7,GR1,0,1,-0.000614795700665582,OK
100,3,1.10000002384186,3.8,GR1,0,1,-0.000589906697107234,OK
