Tag_rate,Ikssmin_kA,Sgn_eff_MVA,H_s,Out_of_step
100,10,3.0999999046325684,2.6,0.0
1000,3,4.599999904632568,3.4,0.0
100,10,7.599999904632568,2.2,0.0
100,5,7.599999904632568,3.5,0.0
1000,10,5.099999904632568,3.4,0.0
1000,6,0.1000000014901161,4.3,1.0
100,7,0.6000000238418579,4.7,1.0
100,9,4.599999904632568,1.1,0.0
1000,15,5.099999904632568,3.6,0.0
1000,12,0.1000000014901161,1.9,1.0
100,15,3.5999999046325684,2.2,0.0
100,10,10.100000381469728,1.5,0.0
100,12,5.099999904632568,1.2,0.0
1000,9,9.600000381469728,3.5,0.0
1000,4,6.599999904632568,4.8,0.0
100,4,7.599999904632568,0.6,0.0
1000,5,3.0999999046325684,2.5,0.0
1000,5,0.6000000238418579,3.9,1.0
100,13,8.600000381469727,2.8,0.0
100,10,1.600000023841858,0.1,1.0
100,6,0.6000000238418579,2.3,1.0
100,13,4.099999904632568,0.5,0.0
100,10,2.0999999046325684,1.9,0.0
100,10,8.100000381469727,3.1,0.0
100,15,10.100000381469728,0.5,0.0
100,15,7.599999904632568,0.3,0.0
1000,3,3.5999999046325684,1.3,0.0
1000,8,3.5999999046325684,2.0,0.0
100,9,1.600000023841858,3.1,0.0
1000,7,9.600000381469728,4.8,0.0
1000,14,0.1000000014901161,3.4,1.0
100,6,3.5999999046325684,0.9,0.0
100,7,10.100000381469728,2.2,0.0
100,8,2.5999999046325684,0.4,0.0
100,9,9.600000381469728,3.7,0.0
100,6,9.100000381469728,1.0,0.0
1000,12,8.100000381469727,2.6,0.0
100,13,4.599999904632568,4.1,0.0
100,13,1.600000023841858,0.5,0.0
100,12,5.599999904632568,1.3,0.0
1000,5,5.599999904632568,2.7,0.0
1000,12,0.6000000238418579,3.5,1.0
1000,12,2.0999999046325684,1.2,0.0
1000,13,0.6000000238418579,5.0,1.0
1000,15,4.099999904632568,0.8,0.0
100,7,1.600000023841858,2.6,0.0
1000,4,0.6000000238418579,1.9,1.0
100,4,8.100000381469727,4.0,0.0
100,11,7.599999904632568,4.9,0.0
100,15,7.099999904632568,0.8,0.0
100,6,4.099999904632568,3.1,0.0
100,13,7.599999904632568,4.4,0.0
100,13,7.599999904632568,0.4,0.0
1000,5,7.599999904632568,4.4,0.0
100,13,3.5999999046325684,0.4,0.0
1000,4,0.1000000014901161,2.6,1.0
1000,13,5.099999904632568,0.7,0.0
100,9,0.1000000014901161,2.6,1.0
1000,15,4.099999904632568,1.1,0.0
100,14,6.599999904632568,2.9,0.0
1000,3,3.0999999046325684,1.7,0.0
1000,12,7.599999904632568,1.7,0.0
100,6,1.100000023841858,3.7,0.0
1000,9,1.100000023841858,4.1,0.0
1000,10,1.100000023841858,3.0,0.0
1000,8,4.099999904632568,0.3,0.0
100,15,2.0999999046325684,2.8,0.0
1000,11,4.099999904632568,0.1,0.0
1000,9,6.599999904632568,2.2,0.0
100,14,4.099999904632568,1.0,0.0
1000,8,1.600000023841858,2.7,0.0
100,3,4.099999904632568,2.9,0.0
100,5,2.0999999046325684,4.3,0.0
1000,14,7.599999904632568,0.4,0.0
1000,14,10.100000381469728,0.1,1.0
1000,10,6.599999904632568,0.4,0.0
100,10,7.599999904632568,3.3,0.0
1000,9,3.5999999046325684,4.0,0.0
100,7,5.099999904632568,4.6,0.0
100,6,9.600000381469728,0.2,0.0
100,6,5.599999904632568,0.8,0.0
100,12,0.6000000238418579,1.3,1.0
100,9,7.099999904632568,3.1,0.0
1000,11,4.599999904632568,2.2,0.0
100,8,9.100000381469728,3.8,0.0
1000,5,9.600000381469728,3.7,0.0
1000,13,1.600000023841858,3.9,0.0
1000,6,10.100000381469728,1.1,0.0
100,10,3.5999999046325684,0.4,0.0
1000,10,2.0999999046325684,2.2,0.0
1000,11,6.099999904632568,2.1,0.0
100,12,3.5999999046325684,1.3,0.0
1000,10,3.5999999046325684,0.2,0.0
1000,7,2.5999999046325684,2.5,0.0
1000,11,4.099999904632568,0.8,0.0
100,4,4.099999904632568,0.4,0.0
100,15,6.599999904632568,0.1,0.0
100,14,1.600000023841858,1.8,0.0
100,6,6.599999904632568,1.4,0.0
100,6,9.600000381469728,1.6,0.0
100,15,2.5999999046325684,0.1,0.0
100,5,0.6000000238418579,2.2,1.0
1000,10,3.0999999046325684,1.2,0.0
1000,12,4.599999904632568,2.6,0.0
100,11,6.099999904632568,0.4,0.0
100,7,9.600000381469728,0.6,0.0
100,3,2.5999999046325684,0.1,0.0
1000,6,1.600000023841858,4.7,0.0
100,12,1.100000023841858,2.8,0.0
100,7,0.1000000014901161,3.0,1.0
100,4,5.099999904632568,0.6,0.0
1000,4,0.6000000238418579,1.2,1.0
100,5,8.100000381469727,3.8,0.0
1000,11,10.100000381469728,2.7,0.0
100,12,1.100000023841858,2.2,0.0
100,5,9.600000381469728,0.4,0.0
100,13,3.5999999046325684,4.1,0.0
1000,8,4.599999904632568,0.2,0.0
1000,11,4.099999904632568,1.9,0.0
100,10,1.100000023841858,3.2,0.0
100,11,0.6000000238418579,3.1,1.0
100,9,9.100000381469728,1.0,0.0
1000,9,2.5999999046325684,4.7,0.0
100,5,6.099999904632568,1.9,0.0
1000,5,4.099999904632568,0.4,0.0
100,15,3.0999999046325684,1.0,0.0
1000,8,10.100000381469728,1.4,0.0
1000,4,6.599999904632568,4.4,0.0
100,10,5.599999904632568,1.9,0.0
1000,15,0.1000000014901161,2.2,1.0
1000,8,1.600000023841858,1.8,0.0
100,4,8.600000381469727,3.8,0.0
1000,7,8.600000381469727,0.2,0.0
1000,10,0.6000000238418579,0.3,1.0
1000,14,8.100000381469727,2.1,0.0
100,14,8.100000381469727,2.7,0.0
1000,7,9.100000381469728,4.0,0.0
1000,7,3.5999999046325684,4.6,0.0
1000,10,5.599999904632568,0.4,0.0
100,14,2.0999999046325684,1.7,0.0
100,7,3.0999999046325684,0.2,0.0
100,15,9.100000381469728,5.0,0.0
100,7,8.100000381469727,4.9,0.0
1000,12,2.5999999046325684,1.4,0.0
