t,PH_alarm,DDM_alarm,ADWIN_alarm,error,prob
1,0,0,0,0.0,0.999999
2,0,0,0,0.0,0.999999
3,0,0,0,0.0,0.999999
4,0,0,0,0.0,0.999999
5,0,0,0,0.0,0.999999
6,0,0,0,0.0,0.999999
7,0,0,0,0.0,0.999999
8,0,0,0,0.0,0.999999
9,0,0,0,0.0,0.999999
10,0,0,0,0.0,0.999999
11,0,0,0,0.0,0.999999
12,0,0,0,0.0,0.8248175182481752
13,0,0,0,0.0,0.999999
14,0,0,0,0.0,0.999999
15,0,0,0,0.0,0.999999
16,0,0,0,0.0,0.999999
17,0,0,0,0.0,0.999999
18,0,0,0,0.0,0.9562043795620437
19,0,0,0,0.0,0.9489051094890512
20,0,0,0,0.0,0.999999
21,0,0,0,0.0,0.999999
22,0,0,0,0.0,0.999999
23,0,0,0,0.0,0.999999
24,0,0,0,0.0,0.9343065693430657
25,0,0,0,0.0,0.8321167883211679
26,0,0,0,0.0,0.4306569343065693
27,0,0,0,0.0,0.9562043795620437
28,0,0,0,0.0,0.927007299270073
29,0,0,0,0.0,0.927007299270073
30,0,0,0,0.0,0.999999
31,0,0,0,0.0,0.9489051094890512
32,0,0,0,0.0,0.999999
33,0,0,0,0.0,0.999999
34,0,0,0,0.0,0.999999
35,0,0,0,0.0,0.8978102189781021
36,0,0,0,0.0,0.999999
37,0,0,0,0.0,0.999999
38,0,0,0,0.0,0.9197080291970803
39,0,0,0,0.0,0.9197080291970803
40,0,0,0,0.0,0.9197080291970803
41,0,0,0,0.0,0.927007299270073
42,0,0,0,0.0,0.999999
43,0,0,0,0.0,0.9124087591240876
44,0,0,0,0.0,0.999999
45,0,0,0,0.0,0.999999
46,0,0,0,0.0,0.9343065693430657
47,0,0,0,0.0,0.999999
48,0,0,0,0.0,0.999999
49,0,0,0,0.0,0.999999
50,0,0,0,0.0,0.927007299270073
51,0,0,0,0.0,0.999999
52,0,0,0,0.0,0.999999
53,0,0,0,0.0,0.9635036496350365
54,0,0,0,0.0,0.9781021897810219
55,0,0,0,0.0,0.999999
56,0,0,0,0.0,0.7956204379562044
57,0,0,0,0.0,0.999999
58,0,0,0,0.0,0.999999
59,0,0,0,0.0,0.875912408759124
60,0,0,0,0.0,0.999999
61,0,0,0,0.0,0.999999
62,0,0,0,0.0,0.36496350364963503
63,0,0,0,0.0,0.8248175182481752
64,0,0,0,0.0,0.4087591240875912
