model_code,model_name,tier,validation_protocol,PR_AUC,FNR,ECE,PR_AUC_step1_v1,FNR_step1_v1,ECE_step1_v1,Delta_PR_AUC_vs_step1,Delta_FNR_vs_step1,Delta_ECE_vs_step1
A1,Logistic + interactions,Tier A,V2_grouped,0.9999914181173631,0.0,0.010342664602449609,0.9998972709758461,0.00390625,0.009677004909739988,9.41471415170092e-05,-0.00390625,0.0006656596927096213
A2,Shallow Decision Tree,Tier A,V2_grouped,0.9996157816400999,0.01328125,0.001918731547966992,0.9992541435325665,0.0,0.00218218123299912,0.00036163810753342407,0.01328125,-0.00026344968503212805
B1,Random Forest (tuned),Tier B,V2_grouped,1.0,0.0,0.0030679626818539444,1.0,0.0,0.0034942084459526636,0.0,0.0,-0.0004262457640987192
B2,Gradient Boosting,Tier B,V2_grouped,1.0,0.0,9.496225813421171e-06,1.0,0.0,1.782089000281033e-05,0.0,0.0,-8.324664189389159e-06
B3,Calibrated B2 (isotonic),Tier B,V2_grouped,1.0,0.0,1.1014048635635839e-05,1.0,0.0,2.0517682308533715e-05,0.0,0.0,-9.503633672897876e-06
C1,Monotonic-constrained GBM,Tier C,V2_grouped,0.16516136528699643,0.0,0.03126398342672706,0.16161866150753565,0.0,0.032991268676874345,0.003542703779460782,0.0,-0.0017272852501472868
C2,Physics-regularized logistic,Tier C,V2_grouped,0.9955074399338666,0.0546875,0.09164239243093138,0.9947463319185158,0.0578125,0.09170934682059013,0.0007611080153507865,-0.0031250000000000028,-6.695438965875766e-05
C3,Two-stage hybrid,Tier C,V2_grouped,1.0,0.0,9.142950857197562e-05,1.0,0.0,0.00025342855990274715,0.0,0.0,-0.00016199905133077152
A1,Logistic + interactions,Tier A,V3_leave_Sgn,0.32067946925718727,0.4078125,0.11432775547149693,0.9998972709758461,0.00390625,0.009677004909739988,-0.6792178017186589,0.40390625,0.10465075056175693
A2,Shallow Decision Tree,Tier A,V3_leave_Sgn,0.10666666666666667,0.0,0.10666666666666667,0.9992541435325665,0.0,0.00218218123299912,-0.8925874768658998,0.0,0.10448448543366755
B1,Random Forest (tuned),Tier B,V3_leave_Sgn,0.10635454250351706,0.0,0.1064617371081334,1.0,0.0,0.0034942084459526636,-0.8936454574964829,0.0,0.10296752866218074
B2,Gradient Boosting,Tier B,V3_leave_Sgn,0.10316790629427243,0.0,0.10666155573233653,1.0,0.0,1.782089000281033e-05,-0.8968320937057276,0.0,0.10664373484233372
B3,Calibrated B2 (isotonic),Tier B,V3_leave_Sgn,0.10666666666666667,0.0,0.10666666666666667,1.0,0.0,2.0517682308533715e-05,-0.8933333333333333,0.0,0.10664614898435815
C1,Monotonic-constrained GBM,Tier C,V3_leave_Sgn,0.09752266381524498,0.0,0.19643385987922352,0.16161866150753565,0.0,0.032991268676874345,-0.06409599769229067,0.0,0.16344259120234916
C2,Physics-regularized logistic,Tier C,V3_leave_Sgn,0.0784837574516047,0.0359375,0.10134388067674278,0.9947463319185158,0.0578125,0.09170934682059013,-0.9162625744669111,-0.021875000000000006,0.00963453385615265
C3,Two-stage hybrid,Tier C,V3_leave_Sgn,0.10666666666666667,0.0,0.10666566666666667,1.0,0.0,0.00025342855990274715,-0.8933333333333333,0.0,0.10641223810676392
A1,Logistic + interactions,Tier A,V3_leave_Ik,0.9105754757965498,0.04609375,0.06285075036475565,0.9998972709758461,0.00390625,0.009677004909739988,-0.08932179517929628,0.0421875,0.053173745455015665
A2,Shallow Decision Tree,Tier A,V3_leave_Ik,0.9995888480819748,0.01796875,0.0024168355308563398,0.9992541435325665,0.0,0.00218218123299912,0.0003347045494083156,0.01796875,0.00023465429785721973
B1,Random Forest (tuned),Tier B,V3_leave_Ik,1.0,0.0,0.010023677360603946,1.0,0.0,0.0034942084459526636,0.0,0.0,0.006529468914651282
B2,Gradient Boosting,Tier B,V3_leave_Ik,1.0,0.0,1.018520011320667e-05,1.0,0.0,1.782089000281033e-05,0.0,0.0,-7.63568988960366e-06
B3,Calibrated B2 (isotonic),Tier B,V3_leave_Ik,1.0,0.0,0.001358843227062465,1.0,0.0,2.0517682308533715e-05,0.0,0.0,0.0013383255447539312
C1,Monotonic-constrained GBM,Tier C,V3_leave_Ik,0.1775104077333271,0.6734375,0.02985742893777652,0.16161866150753565,0.0,0.032991268676874345,0.015891746225791453,0.6734375,-0.003133839739097824
C2,Physics-regularized logistic,Tier C,V3_leave_Ik,0.992510343634196,0.0671875,0.08681257510207595,0.9947463319185158,0.0578125,0.09170934682059013,-0.002235988284319812,0.009374999999999994,-0.004896771718514187
C3,Two-stage hybrid,Tier C,V3_leave_Ik,1.0,0.0,0.0052824022041087935,1.0,0.0,0.00025342855990274715,0.0,0.0,0.005028973644206046
