PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,tier,noise_level
0.9992541435325665,0.9999390377215485,0.9726443768996961,1.0,0.9861325115562404,0.9966417910447761,0.9983208955223881,0.002406019507695277,0.00218218123299912,0.0,36.0,0.8410041841004183,0.986,0.001,10684,36,0,1280,10719,1,60,1220,0.953125,0.9991809991809992,9.328358208955224e-05,A2,noise_curve,stratified,0.000789081357358834,0.0,A2,Tier A,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.041948438458084e-08,1.782089000281033e-05,0.0,0.0,0.9925090384241911,0.999,0.003,10720,0,0,1280,10720,0,16,1264,0.9875,1.0,0.0,B2,noise_curve,stratified,0.0,0.0,B2,Tier B,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.508282335095436e-05,0.00025342855990274715,0.0,0.0,0.7596153846153846,0.999,0.147,10720,0,0,1280,10720,0,17,1263,0.98671875,1.0,0.0,C3,noise_curve,stratified,0.0,0.0,C3,Tier C,0.0
0.9992541435325665,0.9999390377215485,0.9726443768996961,1.0,0.9861325115562404,0.9966417910447761,0.9983208955223881,0.002406019507695277,0.00218218123299912,0.0,36.0,0.8410041841004183,0.986,0.001,10684,36,0,1280,10719,1,60,1220,0.953125,0.9991809991809992,9.328358208955224e-05,A2,noise_curve,stratified,0.000789081357358834,0.0,A2,Tier A,0.01
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.041948438458084e-08,1.782089000281033e-05,0.0,0.0,0.9925090384241911,0.999,0.003,10720,0,0,1280,10720,0,16,1264,0.9875,1.0,0.0,B2,noise_curve,stratified,0.0,0.0,B2,Tier B,0.01
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.244410950389084e-05,0.00023825979509283562,0.0,0.0,0.7596153846153846,0.999,0.138,10720,0,0,1280,10720,0,16,1264,0.9875,1.0,0.0,C3,noise_curve,stratified,0.0,0.0,C3,Tier C,0.01
0.9992541435325665,0.9999390377215485,0.9726443768996961,1.0,0.9861325115562404,0.9966417910447761,0.9983208955223881,0.002406019507695277,0.00218218123299912,0.0,36.0,0.8410041841004183,0.986,0.001,10684,36,0,1280,10719,1,60,1220,0.953125,0.9991809991809992,9.328358208955224e-05,A2,noise_curve,stratified,0.000789081357358834,0.0,A2,Tier A,0.02
0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,3.042168613623167e-08,1.7830121042038023e-05,0.0,0.0,0.9925090384241911,0.999,0.003,10720,0,0,1280,10720,0,16,1264,0.9875,1.0,0.0,B2,noise_curve,stratified,0.0,0.0,B2,Tier B,0.02
1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.125421775012444e-05,0.0002795943967727595,0.0,0.0,0.7307692307692308,0.999,0.154,10720,0,0,1280,10720,0,18,1262,0.9859375,1.0,0.0,C3,noise_curve,stratified,0.0,0.0,C3,Tier C,0.02
0.9992541435325665,0.9999390377215485,0.9726443768996961,1.0,0.9861325115562404,0.9966417910447761,0.9983208955223881,0.002406019507695277,0.00218218123299912,0.0,36.0,0.8410041841004183,0.986,0.001,10684,36,0,1280,10719,1,60,1220,0.953125,0.9991809991809992,9.328358208955224e-05,A2,noise_curve,stratified,0.000789081357358834,0.0,A2,Tier A,0.03
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.041986688588501e-08,1.7824260456931217e-05,0.0,0.0,0.9925090384241911,0.999,0.003,10720,0,0,1280,10720,0,16,1264,0.9875,1.0,0.0,B2,noise_curve,stratified,0.0,0.0,B2,Tier B,0.03
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.725316281076436e-05,0.00031888501436781323,0.0,0.0,0.7403846153846153,0.999,0.363,10720,0,0,1280,10720,0,17,1263,0.98671875,1.0,0.0,C3,noise_curve,stratified,0.0,0.0,C3,Tier C,0.03
